Id;Date;Begin;End;Distance(m);Speed(km/h)
1;06/07/2023;17:33:04;17:33:08;13.47;48.50
2;06/07/2023;17:33:05;17:33:09;15.51;55.83
3;06/07/2023;17:33:05;17:33:09;15.73;56.63
4;06/07/2023;17:33:06;17:33:09;16.55;59.59
1;06/07/2023;17:33:08;17:33:11;11.56;41.61
2;06/07/2023;17:33:09;17:33:12;14.45;52.03
3;06/07/2023;17:33:09;17:33:12;15.19;54.68
4;06/07/2023;17:33:09;17:33:13;16.28;58.61
5;06/07/2023;17:33:11;17:33:15;15.09;54.32
3;06/07/2023;17:33:12;17:33:16;15.34;55.22
4;06/07/2023;17:33:13;17:33:16;15.06;54.21
5;06/07/2023;17:33:15;17:33:19;15.67;56.41
7;06/07/2023;17:33:15;17:33:19;19.23;69.24
3;06/07/2023;17:33:16;17:33:20;14.71;52.97
4;06/07/2023;17:33:16;17:33:21;12.63;45.48
5;06/07/2023;17:33:19;17:33:22;14.45;52.01
7;06/07/2023;17:33:19;17:33:23;17.99;64.77
5;06/07/2023;17:33:22;17:33:26;14.64;52.69
7;06/07/2023;17:33:23;17:33:26;17.49;62.96
5;06/07/2023;17:33:26;17:33:29;12.43;44.76
7;06/07/2023;17:33:26;17:33:29;17.65;63.54
8;06/07/2023;17:33:31;17:33:34;18.34;66.03
8;06/07/2023;17:33:34;17:33:38;19.51;70.23
8;06/07/2023;17:33:38;17:33:41;19.34;69.63
9;06/07/2023;17:33:39;17:33:42;18.78;67.62
8;06/07/2023;17:33:41;17:33:44;19.24;69.26
10;06/07/2023;17:33:42;17:33:45;12.98;46.72
9;06/07/2023;17:33:42;17:33:46;18.20;65.53
11;06/07/2023;17:33:43;17:33:46;19.46;70.04
10;06/07/2023;17:33:45;17:33:49;15.04;54.15
11;06/07/2023;17:33:46;17:33:50;22.96;82.65
10;06/07/2023;17:33:49;17:33:53;15.47;55.70
11;06/07/2023;17:33:50;17:33:53;22.07;79.44
10;06/07/2023;17:33:53;17:33:56;14.67;52.80
11;06/07/2023;17:33:53;17:33:57;22.40;80.65
12;06/07/2023;17:33:55;17:33:59;17.15;61.73
10;06/07/2023;17:33:56;17:33:59;16.49;59.36
11;06/07/2023;17:33:57;17:34:00;19.65;70.73
12;06/07/2023;17:33:59;17:34:02;17.36;62.49
10;06/07/2023;17:33:59;17:34:03;14.00;50.42
13;06/07/2023;17:34:00;17:34:04;21.86;78.70
12;06/07/2023;17:34:02;17:34:05;16.56;59.61
14;06/07/2023;17:34:02;17:34:06;18.07;65.06
13;06/07/2023;17:34:04;17:34:07;18.15;65.33
12;06/07/2023;17:34:05;17:34:09;16.12;58.02
14;06/07/2023;17:34:06;17:34:09;19.31;69.53
13;06/07/2023;17:34:07;17:34:10;19.17;69.03
12;06/07/2023;17:34:09;17:34:12;16.12;58.03
14;06/07/2023;17:34:09;17:34:13;19.88;71.57
13;06/07/2023;17:34:10;17:34:14;19.09;68.73
12;06/07/2023;17:34:12;17:34:16;15.57;56.04
14;06/07/2023;17:34:13;17:34:16;17.91;64.46
13;06/07/2023;17:34:14;17:34:17;16.49;59.38
16;06/07/2023;17:34:16;17:34:19;17.33;62.40
14;06/07/2023;17:34:16;17:34:19;21.19;76.27
17;06/07/2023;17:34:19;17:34:23;15.98;57.54
16;06/07/2023;17:34:19;17:34:23;17.19;61.87
17;06/07/2023;17:34:23;17:34:26;15.57;56.06
16;06/07/2023;17:34:23;17:34:26;17.05;61.37
18;06/07/2023;17:34:24;17:34:27;18.55;66.78
20;06/07/2023;17:34:25;17:34:28;22.20;79.92
21;06/07/2023;17:34:25;17:34:29;18.41;66.29
17;06/07/2023;17:34:26;17:34:30;15.75;56.71
18;06/07/2023;17:34:27;17:34:31;19.05;68.57
20;06/07/2023;17:34:28;17:34:31;20.92;75.33
21;06/07/2023;17:34:29;17:34:32;17.74;63.88
17;06/07/2023;17:34:30;17:34:33;16.03;57.70
18;06/07/2023;17:34:31;17:34:34;17.34;62.41
20;06/07/2023;17:34:31;17:34:35;20.22;72.79
21;06/07/2023;17:34:32;17:34:36;17.28;62.19
17;06/07/2023;17:34:33;17:34:37;12.90;46.45
22;06/07/2023;17:34:34;17:34:37;24.46;88.07
21;06/07/2023;17:34:36;17:34:39;17.53;63.12
